competitor_id,name,country,country_code,abbreviation
sr:competitor:407573,"Alcaraz, Carlos",Spain,ESP,ALC
sr:competitor:225050,"Sinner, Jannik",Italy,ITA,SIN
sr:competitor:14882,"Djokovic, Novak",Serbia,SRB,DJO
sr:competitor:57163,"Zverev, Alexander",Germany,DEU,ZVE
sr:competitor:359602,"Musetti, Lorenzo",Italy,ITA,MUS
sr:competitor:214182,"de Minaur, Alex",Australia,AUS,DE
sr:competitor:136042,"Fritz, Taylor",USA,USA,FRI
sr:competitor:195800,"Auger-Aliassime, Felix",Canada,CAN,AUG
sr:competitor:808628,"Shelton, Ben",USA,USA,SHE
sr:competitor:163504,"Medvedev, Daniil",Neutral,,MED
sr:competitor:163480,"Bublik, Alexander",Kazakhstan,KAZ,BUB
sr:competitor:119248,"Ruud, Casper",Norway,NOR,RUU
sr:competitor:763108,"Mensik, Jakub",Czechia,CZE,MEN
sr:competitor:399637,"Cobolli, Flavio",Italy,ITA,COB
sr:competitor:90080,"Khachanov, Karen",Neutral,,KHA
sr:competitor:106755,"Rublev, Andrey",Neutral,,RUB
sr:competitor:157456,"Davidovich Fokina, Alejandro",Spain,ESP,DAV
sr:competitor:534043,"Darderi, Luciano",Italy,ITA,DAR
sr:competitor:255595,"Cerundolo, Francisco",Argentina,ARG,CER
sr:competitor:101101,"Tiafoe, Frances",USA,USA,TIA
sr:competitor:891669,"Tien, Learner",USA,USA,TIE
sr:competitor:339377,"Lehecka, Jiri",Czechia,CZE,LEH
sr:competitor:138546,"Paul, Tommy",USA,USA,PAU
sr:competitor:95935,"Norrie, Cameron",Great Britain,GBR,NOR
sr:competitor:158912,"Vacherot, Valentin",Monaco,MCO,VAC
sr:competitor:352776,"Draper, Jack",Great Britain,GBR,DRA
sr:competitor:63606,"Rinderknech, Arthur",France,FRA,RIN
sr:competitor:429603,"Rune, Holger",Denmark,DNK,RUN
sr:competitor:122368,"Griekspoor, Tallon",Netherlands,NLD,GRI
sr:competitor:294300,"Nakashima, Brandon",USA,USA,NAK
sr:competitor:671637,"Fils, Arthur",France,FRA,FIL
sr:competitor:169496,"Etcheverry, Tomas Martin",Argentina,ARG,ETC
sr:competitor:175014,"Moutet, Corentin",France,FRA,MOU
sr:competitor:185388,"Humbert, Ugo",France,FRA,HUM
sr:competitor:126356,"Munar, Jaume",Spain,ESP,MUN
sr:competitor:203681,"Korda, Sebastian",USA,USA,KOR
sr:competitor:418213,"Diallo, Gabriel",Canada,CAN,DIA
sr:competitor:117916,"Shapovalov, Denis",Canada,CAN,SHA
sr:competitor:863319,"Fonseca, Joao",Brazil,BRA,FON
sr:competitor:871495,"Michelsen, Alex",USA,USA,MIC
sr:competitor:102151,"Tabilo, Alejandro",Chile,CHL,TAB
sr:competitor:195516,"Brooksby, Jenson",USA,USA,BRO
sr:competitor:15894,"Mannarino, Adrian",France,FRA,MAN
sr:competitor:23581,"Dimitrov, Grigor",Bulgaria,BGR,DIM
sr:competitor:170946,"Bergs, Zizou",Belgium,BEL,BER
sr:competitor:254383,"Marozsan, Fabian",Hungary,HUN,MAR
sr:competitor:128552,"Popyrin, Alexei",Australia,AUS,POP
sr:competitor:300540,"Machac, Tomas",Czechia,CZE,MAC
sr:competitor:15387,"Cilic, Marin",Croatia,HRV,CIL
sr:competitor:125006,"Borges, Nuno",Portugal,PRT,BOR
