venue_id,venue_name,city,country,country_code,timezone,complex_id
sr:venue:70045,Cancha Central,Santiago,CHILE,CHL,America/Santiago,sr:complex:705
sr:venue:74856,Centre Court,Seville,SPAIN,ESP,Europe/Madrid,sr:complex:1078
sr:venue:74858,Court One,Seville,SPAIN,ESP,Europe/Madrid,sr:complex:1078
sr:venue:62149,Sibur Arena,Saint Petersburg,RUSSIAN FEDERATION,RUS,Europe/Moscow,sr:complex:1495
sr:venue:1500,CENTER COURT,Saint Petersburg,RUSSIAN FEDERATION,RUS,Europe/Moscow,sr:complex:1495
sr:venue:62153,TC Dynamo,Saint Petersburg,RUSSIAN FEDERATION,RUS,Europe/Moscow,sr:complex:1495
sr:venue:1496,Court 1,Saint Petersburg,RUSSIAN FEDERATION,RUS,Europe/Moscow,sr:complex:1495
sr:venue:57912,Central,Oeiras,PORTUGAL,PRT,Europe/Lisbon,sr:complex:2375
sr:venue:77423,Campo 1,Oeiras,PORTUGAL,PRT,Europe/Lisbon,sr:complex:2375
sr:venue:77437,Campo 8,Oeiras,PORTUGAL,PRT,Europe/Lisbon,sr:complex:2375
sr:venue:70807,Campo 4,Oeiras,PORTUGAL,PRT,Europe/Lisbon,sr:complex:2375
sr:venue:70805,Campo 3,Oeiras,PORTUGAL,PRT,Europe/Lisbon,sr:complex:2375
sr:venue:13916,Court 6,Ostrava,CZECH REPUBLIC,CZE,Europe/Prague,sr:complex:5526
sr:venue:55223,Court 2,Ostrava,CZECH REPUBLIC,CZE,Europe/Prague,sr:complex:5526
sr:venue:55221,Court 1,Ostrava,CZECH REPUBLIC,CZE,Europe/Prague,sr:complex:5526
sr:venue:86772,Ridera Court,Ostrava,CZECH REPUBLIC,CZE,Europe/Prague,sr:complex:5526
sr:venue:13942,Court 4,Ostrava,CZECH REPUBLIC,CZE,Europe/Prague,sr:complex:5526
sr:venue:13912,Centre Court,Ostrava,CZECH REPUBLIC,CZE,Europe/Prague,sr:complex:5526
sr:venue:13914,Court 3,Ostrava,CZECH REPUBLIC,CZE,Europe/Prague,sr:complex:5526
sr:venue:77279,Table 5,Varazdin,CROATIA,HRV,Europe/Zagreb,sr:complex:6310
sr:venue:77277,Table 4,Varazdin,CROATIA,HRV,Europe/Zagreb,sr:complex:6310
sr:venue:77283,Table 7,Varazdin,CROATIA,HRV,Europe/Zagreb,sr:complex:6310
sr:venue:77281,Table 6,Varazdin,CROATIA,HRV,Europe/Zagreb,sr:complex:6310
sr:venue:77271,Table 1,Varazdin,CROATIA,HRV,Europe/Zagreb,sr:complex:6310
sr:venue:77285,Table 8,Varazdin,CROATIA,HRV,Europe/Zagreb,sr:complex:6310
sr:venue:77275,Table 3,Varazdin,CROATIA,HRV,Europe/Zagreb,sr:complex:6310
sr:venue:77273,Table 2,Varazdin,CROATIA,HRV,Europe/Zagreb,sr:complex:6310
sr:venue:74264,Court 1,Dusseldorf,GERMANY,DEU,Europe/Berlin,sr:complex:6322
sr:venue:74266,Center Court,Dusseldorf,GERMANY,DEU,Europe/Berlin,sr:complex:6322
sr:venue:74260,Court 3,Dusseldorf,GERMANY,DEU,Europe/Berlin,sr:complex:6322
sr:venue:74262,Court 2,Dusseldorf,GERMANY,DEU,Europe/Berlin,sr:complex:6322
sr:venue:2146,Court 1,Montpellier,FRANCE,FRA,Europe/Paris,sr:complex:6484
sr:venue:30567,Court Central,Montpellier,FRANCE,FRA,Europe/Paris,sr:complex:6484
sr:venue:30569,Court 2,Montpellier,FRANCE,FRA,Europe/Paris,sr:complex:6484
sr:venue:19477,Court Patrice Dominguez,Montpellier,FRANCE,FRA,Europe/Paris,sr:complex:6484
sr:venue:39934,Court 3,Montpellier,FRANCE,FRA,Europe/Paris,sr:complex:6484
sr:venue:74195,Center Court,Orleans,FRANCE,FRA,Europe/Paris,sr:complex:6890
sr:venue:66107,Court 2,Orleans,FRANCE,FRA,Europe/Paris,sr:complex:6890
sr:venue:70605,Court 5,Orleans,FRANCE,FRA,Europe/Paris,sr:complex:6890
sr:venue:66109,Court 3,Orleans,FRANCE,FRA,Europe/Paris,sr:complex:6890
sr:venue:66111,Court 4,Orleans,FRANCE,FRA,Europe/Paris,sr:complex:6890
sr:venue:74197,Court 1,Orleans,FRANCE,FRA,Europe/Paris,sr:complex:6890
sr:venue:83356,Court 2,Malaga,SPAIN,ESP,Europe/Madrid,sr:complex:7048
sr:venue:83358,Court 3,Malaga,SPAIN,ESP,Europe/Madrid,sr:complex:7048
sr:venue:72569,Pista 3,Malaga,SPAIN,ESP,Europe/Madrid,sr:complex:7048
sr:venue:72571,Pista 4,Malaga,SPAIN,ESP,Europe/Madrid,sr:complex:7048
sr:venue:72565,Pista Cental,Malaga,SPAIN,ESP,Europe/Madrid,sr:complex:7048
sr:venue:72567,Pista 2,Malaga,SPAIN,ESP,Europe/Madrid,sr:complex:7048
sr:venue:83354,Centre Court,Malaga,SPAIN,ESP,Europe/Madrid,sr:complex:7048
sr:venue:85170,Center Court,Athens,GREECE,GRC,Europe/Athens,sr:complex:7242
sr:venue:85168,Grandstand,Athens,GREECE,GRC,Europe/Athens,sr:complex:7242
sr:venue:86200,Center court,Miami,UNITED STATES,USA,America/New_York,sr:complex:8115
sr:venue:23352,Court 3,Sofia,BULGARIA,BGR,Europe/Sofia,sr:complex:9725
sr:venue:23354,Court 4,Sofia,BULGARIA,BGR,Europe/Sofia,sr:complex:9725
sr:venue:17758,Court 1,Sofia,BULGARIA,BGR,Europe/Sofia,sr:complex:9725
sr:venue:23356,Court 2,Sofia,BULGARIA,BGR,Europe/Sofia,sr:complex:9725
sr:venue:17756,Center Court,Sofia,BULGARIA,BGR,Europe/Sofia,sr:complex:9725
sr:venue:74546,Court 1,Rouen,FRANCE,FRA,Europe/Paris,sr:complex:10063
sr:venue:66889,Center Court,Rouen,FRANCE,FRA,Europe/Paris,sr:complex:10063
sr:venue:66925,Amelie Mauresmo,Rouen,FRANCE,FRA,Europe/Paris,sr:complex:10063
sr:venue:66979,Celine Dumerc,Rouen,FRANCE,FRA,Europe/Paris,sr:complex:10063
sr:venue:67861,Cancha 2,Temuco,CHILE,CHL,America/Santiago,sr:complex:11769
sr:venue:67863,Cancha 3,Temuco,CHILE,CHL,America/Santiago,sr:complex:11769
sr:venue:67857,Cancha Central,Temuco,CHILE,CHL,America/Santiago,sr:complex:11769
sr:venue:67859,Cancha 1,Temuco,CHILE,CHL,America/Santiago,sr:complex:11769
sr:venue:30469,Indoor 3,Lyon,FRANCE,FRA,Europe/Paris,sr:complex:12241
sr:venue:39842,Court 14,Lyon,FRANCE,FRA,Europe/Paris,sr:complex:12241
sr:venue:39773,Court 23,Lyon,FRANCE,FRA,Europe/Paris,sr:complex:12241
sr:venue:58692,Court 12,Lyon,FRANCE,FRA,Europe/Paris,sr:complex:12241
sr:venue:30465,Indoor 1,Lyon,FRANCE,FRA,Europe/Paris,sr:complex:12241
sr:venue:39844,Court 15,Lyon,FRANCE,FRA,Europe/Paris,sr:complex:12241
